iter	RMSE
130	11890.29066
131	11881.35023
132	11854.98219
133	11814.88779
134	11806.91334
135	11758.46892
136	11733.83483
137	11711.95657
138	11666.96808
139	11648.02203
140	11614.35629
141	11561.57689
142	11539.44419
143	11518.24297
144	11498.13757
145	11454.98889
146	11429.32889
147	11387.0396
148	11341.06364
149	11320.54029
150	11299.60312
151	11298.2424
152	11282.2753
153	11249.06119
154	11220.90986
155	11198.83041
156	11158.77764
157	11129.81773
158	11111.91367
159	11083.81252
160	11059.12056
161	11029.91787
162	11014.78754
163	10980.99669
164	10948.68608
165	10907.49051
166	10879.70509
167	10845.27335
168	10815.85643
169	10792.68283
170	10766.20724
171	10729.76462
172	10694.15709
173	10678.39274
174	10648.91094
175	10621.55351
176	10605.34555
177	10571.90794
178	10527.77784
179	10508.21667
180	10468.35984
181	10454.69377
182	10406.64492
183	10379.84118
184	10356.27432
185	10323.06229
186	10301.61091
187	10248.41693
188	10232.58741
189	10218.4967
190	10183.43835
191	10168.08523
192	10141.44278
193	10103.60206
194	10051.03139
195	10035.11655
196	10006.10682
197	9985.573669
198	9952.439936
199	9932.863251
200	9909.985802
201	9898.066357
202	9864.114868
203	9830.649127
204	9809.351282
205	9760.181609
206	9729.834109
207	9703.783009
208	9675.036756
209	9635.054487
210	9626.484465
211	9602.088377
212	9568.657953
213	9539.60509
214	9505.995768
215	9482.696958
216	9458.961805
217	9430.068985
218	9405.302108
219	9395.215251
220	9369.544364
221	9338.085608
222	9316.797189
223	9289.96194
224	9278.165341
225	9247.803927
226	9229.768249
227	9193.157402
228	9176.389862
229	9143.250588
230	9116.127614
231	9090.541215
232	9069.519564
233	9049.16034
234	9020.714983
235	9000.891123
236	8983.768381
237	8966.635693
238	8941.806628
239	8930.398946
240	8909.784498
241	8896.233125
242	8879.532787
243	8842.800716
244	8819.447308
245	8785.972277
246	8764.899866
247	8735.03624
248	8711.575252
249	8689.571182
250	8668.764469
251	8637.385135
252	8604.760092
253	8584.868381
254	8554.759565
255	8528.10186
256	8514.402665
257	8501.522741
258	8472.75936
259	8443.680331
260	8425.356141
261	8397.88968
262	8382.560695
263	8362.77295
264	8341.133228
265	8328.565504
266	8299.495375
267	8287.382006
268	8276.929507
269	8256.113471
270	8235.703235
271	8216.953384
272	8206.141478
273	8178.564667
274	8159.879227
275	8134.742945
276	8113.686166
277	8087.927833
278	8067.691838
279	8057.731827
280	8036.697043
281	8026.674898
282	8006.402027
283	7984.098703
284	7965.177669
285	7945.031743
286	7926.745693
287	7908.864037
288	7890.47766
289	7865.149409
290	7840.363823
291	7820.922206
292	7798.103256
293	7781.183572
294	7761.989642
295	7750.105485
296	7741.069159
297	7722.266115
298	7712.810398
299	7701.154245
300	7692.39257
301	7665.804431
302	7648.934673
303	7633.291033
304	7618.004316
305	7607.436979
306	7597.039689
307	7580.784967
308	7558.368046
309	7540.250734
310	7522.584782
311	7505.144487
312	7494.686452
313	7484.415348
314	7471.604249
315	7445.843684
316	7436.362171
317	7419.026426
318	7409.756046
319	7401.29658
320	7384.526713
321	7375.743756
322	7366.574714
323	7356.755378
324	7336.807935
325	7321.690646
326	7312.303026
327	7303.889259
328	7293.399038
329	7284.545385
330	7275.402022
331	7260.107367
332	7249.900121
333	7235.972165
334	7227.407474
335	7218.98084
336	7203.95547
337	7195.604631
338	7182.254645
339	7162.406073
340	7154.280848
341	7146.286535
342	7137.642327
343	7122.147645
344	7110.918491
345	7096.50444
346	7088.641862
347	7077.691979
348	7070.025343
349	7059.522575
350	7052.014361
351	7041.751401
352	7025.601183
353	7011.02699
354	6996.608018
355	6984.527408
356	6968.415774
357	6954.082074
358	6943.846123
359	6933.972011
360	6924.291072
361	6910.161869
362	6896.183517
363	6882.354607
364	6870.580196
365	6858.390879
366	6842.815489
367	6829.234899
368	6814.594893
369	6802.978678
370	6794.359084
371	6782.494112
372	6774.426588
373	6758.502144
374	6747.150055
375	6739.230158
376	6730.971455
377	6717.572612
378	6694.140471
379	6681.587227
380	6674.734421
381	6659.337361
382	6648.146525
383	6636.934333
384	6629.006072
385	6615.733283
386	6600.634107
387	6589.674775
388	6578.789109
389	6568.121914
390	6561.422427
391	6553.856563
392	6540.621745
393	6527.527869
394	6516.752404
395	6509.27896
396	6487.467376
397	6474.558253
398	6462.328031
399	6450.366149
400	6439.738796
401	6429.531491
402	6422.987098
403	6416.536779
404	6403.664859
405	6396.435858
406	6383.689662
407	6371.559557
408	6361.080698
409	6353.940776
410	6344.126087
411	6331.435412
412	6321.163333
413	6314.792544
414	6302.197577
415	6295.258895
416	6271.656057
417	6248.305932
418	6225.191626
419	6213.276322
420	6190.458619
421	6178.753519
422	6168.765445
423	6157.229113
424	6147.451871
425	6141.064548
426	6118.621929
427	6104.896063
428	6082.722503
429	6073.159012
430	6059.611757
431	6048.489519
432	6035.18304
433	6025.795864
434	6012.636515
435	6003.525938
436	5991.271937
437	5982.265229
438	5973.617706
439	5960.23007
440	5946.999139
441	5925.54101
442	5904.323632
443	5877.180279
444	5856.332517
445	5835.708961
446	5826.867954
447	5812.282356
448	5791.993157
449	5781.397999
450	5772.761648
451	5760.064553
452	5747.518008
453	5739.011809
454	5719.036242
455	5706.647114
456	5698.28937
457	5685.561799
458	5665.903331
459	5650.952585
460	5639.171524
461	5630.952116
462	5618.826913
463	5604.091634
464	5581.538949
465	5570.086605
466	5562.041533
467	5542.972098
468	5535.080171
469	5523.831058
470	5506.311611
471	5498.602771
472	5491.03491
473	5488.198177
474	5480.764618
475	5469.779526
476	5462.486051
477	5443.001081
478	5433.252356
479	5426.056692
480	5423.267239
481	5403.996818
482	5385.773759
483	5367.354044
484	5348.534428
485	5330.722907
486	5313.162461
487	5302.522134
488	5285.200895
489	5267.304117
490	5256.829248
491	5239.793484
492	5229.448105
493	5212.640878
494	5196.068497
495	5178.579139
496	5168.380666
497	5152.077111
498	5142.001033
499	5125.91222
500	5110.047139
501	5093.873253
502	5083.9823
503	5070.757318
504	5054.893906
505	5045.209069
506	5034.550392
507	5023.483117
508	5010.569021
509	4999.756899
510	4983.089767
511	4966.602542
512	4954.446351
513	4941.979414
514	4930.096713
515	4916.663737
516	4905.088475
517	4893.767937
518	4880.784719
519	4861.133453
520	4850.078348
521	4837.580126
522	4825.432938
523	4814.661415
524	4804.124794
525	4792.003585
526	4779.364528
527	4760.40622
528	4748.609427
529	4737.074159
530	4727.316828
531	4712.460448
532	4700.848729
533	4691.310269
534	4681.969767
535	4670.703269
536	4658.419383
537	4647.022954
538	4635.879134
539	4626.707711
540	4612.244993
541	4602.900177
542	4591.951619
543	4582.999483
544	4572.225205
545	4563.472771
546	4545.828423
547	4539.396061
548	4530.780562
549	4524.455475
550	4515.995297
551	4507.707669
552	4497.507782
553	4483.310503
554	4471.159322
555	4465.008053
556	4451.146597
557	4442.966557
558	4433.11985
559	4421.18946
560	4411.617557
561	4399.915518
562	4386.532301
563	4373.320981
564	4367.377456
565	4358.149181
566	4352.309044
567	4345.519717
568	4336.406463
569	4323.577238
570	4317.846937
571	4308.894745
572	4297.826002
573	4293.417802
574	4280.938239
575	4272.249052
576	4259.97127
577	4254.433927
578	4247.835913
579	4239.32017
580	4227.313044
581	4222.221819
582	4213.860553
583	4203.378677
584	4192.67368
585	4186.259928
586	4181.238941
587	4173.018849
588	4162.567689
589	4156.285971
590	4144.702306
591	4140.60357
592	4132.524253
593	4122.30099
594	4119.436094
595	4110.86649
596	4104.731948
597	4094.757765
598	4088.748324
599	4080.276486
600	4072.270185
601	4066.346917
602	4057.697841
603	4046.538334
604	4041.786779
605	4034.009129
606	4024.245448
607	4013.297337
608	4002.443218
609	3993.087323
610	3980.427941
611	3974.700434
612	3965.529742
613	3957.383878
614	3951.728829
615	3944.155991
616	3935.867963
617	3921.900733
618	3912.459063
619	3900.234378
620	3894.734906
621	3882.708957
622	3877.304936
623	3866.685941
624	3854.811559
625	3845.945139
626	3834.226971
627	3820.602238
628	3811.892966
629	3798.474287
630	3785.171294
631	3773.700458
632	3769.014821
633	3760.320395
634	3747.200049
635	3738.990111
636	3730.637597
637	3717.631589
638	3709.156853
639	3701.065643
640	3690.160691
641	3685.660799
642	3680.728456
643	3672.610803
644	3659.906444
645	3647.168542
646	3639.577927
647	3631.769569
648	3623.552923
649	3611.043124
650	3604.287203
651	3596.361307
652	3589.677223
653	3583.079162
654	3576.140789
655	3567.1163
656	3559.451312
657	3552.899714
658	3546.432438
659	3534.235189
660	3527.873155
661	3521.704802
662	3512.958819
663	3500.960867
664	3494.743208
665	3488.630353
666	3482.602277
667	3470.781099
668	3464.709805
669	3458.835709
670	3452.899238
671	3446.235789
672	3440.189192
673	3434.434815
674	3422.876664
675	3417.07482
676	3411.467541
677	3405.795054
678	3399.30861
679	3393.326378
680	3387.711924
681	3382.271713
682	3370.983598
683	3365.512011
684	3359.600248
685	3354.290517
686	3343.161036
687	3337.817564
688	3332.643599
689	3327.53636
690	3321.264686
691	3314.350021
692	3309.158173
693	3302.036812
694	3295.538779
695	3287.114216
696	3280.710115
697	3269.906134
698	3261.632227
699	3255.586268
700	3251.576199
701	3245.286024
702	3234.707414
703	3226.585979
704	3220.396969
705	3214.535213
706	3207.74179
707	3201.62239
708	3195.877476
709	3193.657601
710	3187.001455
711	3179.919164
712	3171.937337
713	3165.989506
714	3157.146985
715	3148.420882
716	3142.535268
717	3133.913144
718	3125.404383
719	3118.446805
720	3112.681545
721	3104.245793
722	3095.920762
723	3087.704985
724	3081.98608
725	3073.866589
726	3065.853558
727	3058.992197
728	3053.387866
729	3045.440636
730	3037.597493
731	3029.857069
732	3023.085939
733	3017.581201
734	3009.902909
735	3006.35272
736	3002.604465
737	2997.130883
738	2989.605086
739	2985.01246
740	2979.590589
741	2975.056475
742	2967.903951
743	2961.336748
744	2954.265984
745	2949.77999
746	2940.486711
747	2935.189146
748	2930.74528
749	2923.781784
750	2918.007689
751	2913.615158
752	2907.898428
753	2901.039764
754	2895.401754
755	2889.828159
756	2885.469755
757	2879.951684
758	2872.398023
759	2866.942915
760	2862.633009
761	2857.232328
762	2851.893532
763	2844.440532
764	2840.17848
765	2834.892719
766	2825.886462
767	2816.979768
768	2808.171631
769	2804.419568
770	2800.573664
771	2791.865797
772	2788.171084
773	2779.573355
774	2775.940536
775	2767.451456
776	2763.879397
777	2759.609313
778	2754.42707
779	2748.046431
780	2744.517233
781	2739.411064
782	2733.023365
783	2729.780878
784	2726.312234
785	2722.504834
786	2718.261193
787	2711.938029
788	2708.817093
789	2702.084034
790	2697.952507
791	2693.736473
792	2687.563642
793	2684.407808
794	2677.830683
795	2674.711317
796	2671.096487
797	2666.909421
798	2660.86804
799	2654.227948
800	2650.080908
801	2646.11326
802	2642.017362
803	2637.977681
804	2632.029857
805	2628.9596
806	2624.78063
807	2620.777277
808	2616.828841
809	2610.939685
810	2605.11892
811	2602.073352
812	2599.066115
813	2594.980252
814	2591.05476
815	2587.18307
816	2581.413134
817	2578.435718
818	2575.49572
819	2571.395908
820	2568.038572
821	2563.989751
822	2559.997995
823	2556.062408
824	2550.313633
825	2543.687971
826	2539.785521
827	2534.148077
828	2528.575876
829	2522.341214
830	2518.467304
831	2514.647392
832	2509.240552
833	2503.06398
834	2499.234114
835	2495.977481
836	2492.212511
837	2488.49993
838	2483.189688
839	2479.326105
840	2475.550021
841	2471.893185
842	2468.287212
843	2464.579292
844	2460.921767
845	2456.776283
846	2452.616369
847	2444.966951
848	2439.835951
849	2436.24635
850	2430.084321
851	2426.536402
852	2422.483703
853	2413.616923
854	2410.126701
855	2401.393161
856	2397.956518
857	2394.566576
858	2385.970086
859	2383.383921
860	2380.827659
861	2377.48244
862	2374.952204
863	2371.648922
864	2369.144484
865	2365.88261
866	2363.403743
867	2355.030056
868	2352.596046
869	2349.209568
870	2344.37905
871	2340.089062
872	2334.358315
873	2328.696042
874	2323.101408
875	2317.573594
876	2312.111791
877	2306.715201
878	2302.273787
879	2298.329837
880	2293.932359
881	2290.525869
882	2286.190934
883	2282.844148
884	2277.530808
885	2273.268691
886	2269.975436
887	2265.773561
888	2262.537318
889	2258.394633
890	2254.29938
891	2251.129635
892	2245.909481
893	2242.778807
894	2238.762199
895	2234.791646
896	2230.84148
897	2226.841097
898	2222.915674
899	2218.985679
900	2215.162738
901	2211.285623
902	2207.452936
903	2203.73676
904	2196.00049
905	2190.302395
906	2182.71637
907	2178.960612
908	2175.247968
909	2171.165771
910	2167.488859
911	2163.44711
912	2159.805628
913	2155.803935
914	2152.197585
915	2148.235565
916	2144.664051
917	2140.899386
918	2137.362782
919	2133.473785
920	2129.971445
921	2126.276298
922	2122.465502
923	2118.991159
924	2115.370324
925	2110.345096
926	2106.78838
927	2098.872998
928	2095.218944
929	2087.440474
930	2083.847854
931	2076.203646
932	2072.671195
933	2066.638549
934	2059.156355
935	2055.702422
936	2048.789908
937	2045.264295
938	2040.354235
939	2038.072932
940	2034.229661
941	2028.382113
942	2022.602646
943	2016.890532
944	2014.174036
945	2010.891589
946	2008.277483
947	2005.619801
948	2001.472526
949	1998.914874
950	1995.654057
951	1993.049668
952	1990.546726
953	1986.446177
954	1981.422929
955	1977.38055
956	1972.699135
957	1968.70514
958	1965.386119
959	1960.443969
960	1957.162622
961	1954.754703
962	1950.818417
963	1948.462911
964	1941.513082
965	1938.21896
966	1934.962822
967	1930.444192
968	1928.115077
969	1925.690118
970	1922.459055
971	1920.062158
972	1915.36068
973	1912.16594
974	1905.445626
975	1901.783403
976	1896.471692
977	1891.891543
978	1886.674954
979	1880.586402
980	1878.155988
981	1875.813577
982	1871.944171
983	1869.566213
984	1867.27413
985	1863.454611
986	1858.082875
987	1853.736196
988	1849.949451
989	1847.185849
990	1843.455496
991	1839.160615
992	1837.029779
993	1834.158479
994	1831.334377
995	1827.674961
996	1824.904357
997	1822.179013
998	1818.588442
999	1814.316563
